MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367586430,2023-01-01T00:14:08,48.75545,-122.50417,0,181.8,511,HIGH VOLTAGE,IMO0000000,WDG9302,30,,16,6,,,B
368188790,2023-01-01T00:14:08,29.68522,-90.09978,0,228.6,511,SOUTHERN NIGHTS,,WDM2507,30,0,29,9,3.3,30,A
367142830,2023-01-01T00:14:09,29.98047,-90.39523,0.2,128.7,511,ALABAMA,IMO6408981,WCZ9221,31,0,25,7,2.4,52,A
338458641,2023-01-01T00:14:14,34.17617,-119.22227,0,360,511,MISTER D,IMO0000000,MISTERD,37,,11,8,,,B
235027206,2023-01-01T00:15:12,24.49531,-81.89927,5.5,239.2,511,SHIMSHAL 2,IMO0000000,MJDG2,37,,14,4,,,B
368055190,2023-01-01T00:15:11,29.75898,-95.11892,0,5,90,BRADY DAWSON,IMO1289289,WDK4438,57,12,119,34,3,57,A
367715000,2023-01-01T00:14:09,33.38062,-118.25139,27.1,66.2,511,MELISSA ANN,,WDC5079,60,0,22,8,,60,A
338242985,2023-01-01T00:14:47,47.67911,-122.40763,0,27.4,511,AVIATOR,,,37,,,,,,B
367611250,2023-01-01T00:14:12,28.77706,-90.89096,8.1,58.6,511,REBEL,IMO8987864,WDH3819,90,13,50,10,3.1,70,A
367596490,2023-01-01T00:14:26,48.53955,-123.01629,0,134.7,511,POINTLESS,IMO0000000,WDH2328,36,,12,3,,,B
338150482,2023-01-01T00:15:05,30.39305,-86.51037,0,312.4,511,STRIKE ZONE TOO,,,37,,16,,,,B
368275840,2023-01-01T00:14:27,47.60936,-122.34641,0,236.7,294,SANS SOUCI,IMO0000000,WDN3876,37,,10,4,,,B
338398077,2023-01-01T00:14:28,30.2213,-93.25037,0,360,511,YAYAY,IMO0000000,YAYA,37,,12,4,,,B
368046190,2023-01-01T00:14:31,47.62948,-122.39341,0,360,511,CALL ME LATER,IMO0000000,WDK3537,37,,13,4,,,B
367621990,2023-01-01T00:15:15,47.6159,-122.36064,0.1,293.5,511,ENDURANCE,,WDH4847,37,,13,4,,,B
403529000,2023-01-01T00:15:16,27.58387,-96.43579,11.6,53,51,AMJAD,IMO9779800,HZSH,80,3,,,,80,A
403529000,2023-01-01T00:14:15,27.58191,-96.4387,11.7,52.6,51,AMJAD,IMO9779800,HZSH,80,3,,,,80,A
367622080,2023-01-01T00:14:33,47.62806,-122.39095,0.1,55.9,511,BLUE,,WDH4855,37,,13,,,,B
367451270,2023-01-01T00:14:37,37.82493,-87.6778,0,264.1,150,JERRY JARRETT,,WDF4386,31,12,43,12,,57,A
367339130,2023-01-01T00:14:37,28.30101,-92.01518,3.8,122,111,MS MEGAN,IMO8660117,WDE3441,90,5,45,11,,70,A
367090270,2023-01-01T00:15:13,29.7315,-93.8715,0,360,511,TITUS,,WCV9471,60,0,31,7,,99,A
303517000,2023-01-01T00:15:13,26.71772,-91.4246,0.4,212.6,204,JOSHUA CANDIES,IMO9551636,WJCD,90,0,86,18,6.2,90,A
